JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
91.30001	92.9	168.7	76.5	103	75.1	22.5	30.5	159.9	31.7	82	110.9
210.9	60.10001	56	56.2	74.5	46.3	25.4	65.3	25.5	52	87.4	55.9
140.1	35.8	79.3	161.8	169.4	104.6	122.8	46.3	30.8	52.3	104.5	49.4
138.6	167.4	77.2	62.9	119.4	66.9	40.3	72.7	84.4	110.8	64.2	88.8
98.70001	99	42.3	47.7	145.4	60.5	62	47.4	73	90.09999	55.7	80.9
114.5	95.9	109.5	87.99999	67.6	78.5	50.1	28	39.9	122.9	101.3	30.7
71.6	56	125.4	91.7	94.3	51.2	5.300003	55.5	113.6	60.8	129.9	92.7
43	56	46.3	102.4	33.1	34.6	109.1	109.6	97.70001	113.9	78.5	120.7
144.6	91.9	48.7	62.8	117.5	146.8	92.9	94.8	15.6	99.8	68.10001	178
177.3	158.2	72.6	110.2	112.2	85.1	17.2	32.5	18.3	44.8	62	206.8
171.2	177.5	153.7	83.9	62.1	39.3	79.70001	25.2	37.9	189.7	97.00001	107.8
73.1	59.2	84.7	134	124.8	43.1	33.8	43.4	18.1	113.6	114.2	67.2
45.7	52.8	68.7	87.3	57	29.2	55.3	60.3	64.5	91.6	4.900002	192.5
62.3	69.4	39.4	20.7	73.6	41.6	37.3	30.1	113.7	112.3	108.8	120.1
14.7	91.00001	43.3	144.8	65.7	38.7	88.7	165.5	13.1	24.3	103.8	90.09999
102.6	75.3	86.7	50.9	158.8	76.6	14.5	45.7	56.4	129.9	203.4	63.7
109.3	100.4	73.7	102.5	123.4	40.5	35.6	11.6	3.200001	17.3	141.6	106.8
110.2	140.9	54.5	76	33	20.9	6	22.7	146.9	86.5	58.40001	73.8
99.9	106.5	48.6	75.7	16.1	67.9	59.9	29.6	107.1	151.9	83.20001	80.7
136	64.70001	39.1	163.8	93.6	112.5	81.20001	22	28.2	64.3	32	32.8
26.7	92.8	48.1	163.6	92	26.5	40.9	40.5	31.4	37.7	159.8	181.4
71.3	24	24.6	119.5	68.3	58.2	31.3	50.9	37.7	113.5	128.2	77.4
69.5	72.9	116.1	74.3	62.8	21.4	23.9	7.199997	70.1	83.1	86.7	16.3
41	12.6	59.3	62.1	60.1	132	24.1	109	45.1	222.7	33.60001	108.6
10.2	32	74.7	104.2	121	69	46.9	91.9	93.3	156.4	58.90001	78.2
108.5	63.7	22.6	66.5	130.6	31.5	24.5	32.6	88.2	96.3	87.4	100.2
91.6	92.6	45	40.8	73.1	46.3	44.8	21.3	59.6	43.1	141.2	192
165.8	80	96.5	65.2	113	34.7	47.5	80.5	67.6	44.3	124.5	202.9
141.4	12.8	4	39.2	144.8	84	93.39999	125.4	44	92.49999	226.8	165.9
51.6	34.6	37.4	146.7	94.5	45.5	28.4	36.5	99.3	62.9	53.90001	65.5
88.4	45.3	87.4	77.9	94	27.1	59.10001	69.4	140.5	149.9	70.60001	93.09999
27.6	17.4	50	178.4	95.7	21	62.2	36.3	64.3	121.4	214.2	187.7
200	70.7	170.9	39.9	62	19.7	91.8	55	44.6	102.4	42.8	23.3
70.8	54.3	56.7	62.8	100	64.3	37.1	75.1	92.5	111.7	127	169.1
